fecha,UVA
2018-01-11,21.27
2018-01-12,21.28
2018-01-13,21.29
2018-01-14,21.29
2018-01-15,21.29
2018-01-16,21.32
2018-01-17,21.34
2018-01-18,21.36
2018-01-19,21.38
2018-01-20,21.4
2018-01-21,21.4
2018-01-22,21.4
2018-01-23,21.47
2018-01-24,21.49
2018-01-25,21.51
2018-01-26,21.53
2018-01-27,21.55
2018-01-28,21.55
2018-01-29,21.55
2018-01-30,21.62
2018-01-31,21.64
2018-02-01,21.66
2018-02-02,21.68
2018-02-03,21.7
2018-02-04,21.7
2018-02-05,21.7
2018-02-06,21.77
2018-02-07,21.79
2018-02-08,21.81
2018-02-09,21.83
2018-02-10,21.85
2018-02-11,21.85
2018-02-12,21.85
2018-02-13,21.85
2018-02-14,21.85
2018-02-15,21.96
2018-02-16,21.98
2018-02-17,21.99
2018-02-18,21.99
2018-02-19,21.99
2018-02-20,22.04
2018-02-21,22.05
2018-02-22,22.07
2018-02-23,22.08
2018-02-24,22.09
2018-02-25,22.09
2018-02-26,22.09
2018-02-27,22.14
2018-02-28,22.15
2018-03-01,22.17
2018-03-02,22.18
2018-03-03,22.2
2018-03-04,22.2
2018-03-05,22.2
2018-03-06,22.24
2018-03-07,22.25
2018-03-08,22.27
2018-03-09,22.28
2018-03-10,22.3
2018-03-11,22.3
2018-03-12,22.3
2018-03-13,22.34
2018-03-14,22.35
2018-03-15,22.37
2018-03-16,22.38
2018-03-17,22.4
2018-03-18,22.4
2018-03-19,22.4
2018-03-20,22.45
2018-03-21,22.47
2018-03-22,22.49
2018-03-23,22.5
2018-03-24,22.52
2018-03-25,22.52
2018-03-26,22.52
2018-03-27,22.57
2018-03-28,22.59
2018-03-29,22.61
2018-03-30,22.61
2018-03-31,22.61
2018-04-01,22.61
2018-04-02,22.61
2018-04-03,22.61
2018-04-04,22.71
2018-04-05,22.73
2018-04-06,22.75
2018-04-07,22.76
2018-04-08,22.76
2018-04-09,22.76
2018-04-10,22.81
2018-04-11,22.83
2018-04-12,22.85
2018-04-13,22.87
2018-04-14,22.88
2018-04-15,22.88
2018-04-16,22.88
2018-04-17,22.94
2018-04-18,22.95
2018-04-19,22.97
2018-04-20,22.99
2018-04-21,23.01
2018-04-22,23.01
2018-04-23,23.01
2018-04-24,23.06
2018-04-25,23.08
2018-04-26,23.09
